公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
百度在线网络技术（北京）有限公司,百度,2000人以上,不需要融资,海淀区,大数据工程师,1-3年,本科,20k-30k,福利多
北京善义善美科技有限公司,人人车,2000人以上,D轮及以上,朝阳区,大数据研发工程师,1-3年,本科,15k-25k,团队氛围好；技术牛
北京世纪高通科技有限公司,世纪高通,150-500人,上市公司,海淀区,大数据开发工程师,1-3年,本科,10k-20k,"17薪,发展好,领导好,团队优秀"
北京知因智慧数据科技有限公司,知因智慧,50-150人,A轮,朝阳区,大数据工程师,3-5年,本科,15k-25k,五险一金
北京东方车云信息技术有限公司,易到,500-2000人,D轮及以上,东城区,大数据研发工程师,3-5年,本科,15k-30k,"福利年假,补充医疗"
武汉文网亿联科技有限公司,文网亿联,150-500人,A轮,朝阳区,大数据运维工程师,3-5年,本科,8k-15k,"弹性工作制,五险一金,团队实力强,年底双薪"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,大数据研发工程师,1-3年,硕士,25k-50k,"发展好,平台大,机会多,待遇好"
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,大数据开发工程师（Jice）,3-5年,本科,20k-30k,"平台稳定,有发展空间,海量数据"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,大数据工程师,1-3年,本科,20k-40k,"扁平管理,班车饭补,待遇给力,年底双薪"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,大数据工程师（小米金服）,3-5年,本科,25k-50k,"牛人多,平台大,期权激励,核心业务"
百融金融信息服务股份有限公司,百融金服,500-2000人,B轮,海淀区,大数据运维工程师,3-5年,本科,15k-25k,"六险一金,弹性工作,福利补贴"
北京井立通科技有限公司,井立通,50-150人,不需要融资,石景山区,大数据开发工程师,5-10年,本科,20k-30k,"全额公积金,午餐免费,弹性工作,上班不打卡"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,大数据开发工程师,3-5年,本科,15k-25k,"免费三餐,免费班车"
